Fox Film Corporation,Paid to Love
First National Pictures,The Patent Leather Kid
Cosmopolitan Productions,Quality Street
Cosmopolitan Productions,The Red Mill
British International Pictures (BIP),The Ring
Paramount Pictures,Running Wild
Colored Players Film Corporation,The Scar of Shame
Frank Borzage Production,7th Heaven
Metro-Goldwyn-Mayer (MGM),The Show
Metro-Goldwyn-Mayer (MGM),Spring Fever
Fox Film Corporation,Sunrise: A Song of Two Humans
Robertson-Cole Pictures Corporation,Tarzan and the Golden Lion
Metro-Goldwyn-Mayer (MGM),Tell It to the Marines
Cosmopolitan Productions,Tillie the Toiler
Sovkino,Tretya meshchanskaya
Metro-Goldwyn-Mayer (MGM),Twelve Miles Out
The Caddo Company,Two Arabian Knights
Films Albatros,Un chapeau de paille d'Italie
Universal Pictures,Uncle Tom's Cabin
Metro-Goldwyn-Mayer (MGM),The Unknown
Fox Film Corporation,Upstream
Warner Bros.,When a Man Loves
Metro-Goldwyn-Mayer (MGM),Winners of the Wilderness
Deutsche Universal-Film,Abwege
Metro-Goldwyn-Mayer (MGM),Across to Singapore
Feature Productions,The Battle of the Sexes
Paramount Famous Lasky Corporation,Beggars of Life
Metro-Goldwyn-Mayer (MGM),Bringing Up Father
Nero-Film AG,Die BÃ¼chse der Pandora
Cosmopolitan Productions,The Cardboard Lover
British International Pictures (BIP),Champagne
Films Jean Epstein,La chute de la maison Usher
Charles Chaplin Productions,The Circus
Metro-Goldwyn-Mayer (MGM),The Crowd
Films Albatros,Les deux timides
Metro-Goldwyn-Mayer (MGM),The Divine Woman
Paramount Pictures,The Docks of New York
Mezhrabpomfilm,Dom na Trubnoy
British International Pictures (BIP),The Farmer's Wife
Fox Film Corporation,Fazil
Paramount Pictures,Feel My Pulse
Fox Film Corporation,4 Devils
Fox Film Corporation,Four Sons
Feature Productions,The Garden of Eden
Essem-Film GmbH,Geschlecht in Fesseln
Fox Film Corporation,A Girl in Every Port
Fox Film Corporation,Hangman's House
Universum Film (UFA),Heimkehr
Gaumont British Picture Corporation,High Treason
Kinugasa Eiga Renmei,JÃ»jiro
Metro-Goldwyn-Mayer (MGM),A Lady of Chance
Paramount Pictures,The Last Command
Warner Bros.,Lights of New York
Universal Pictures,Lonesome
La SociÃ©tÃ© des Films Charles Dullin,Maldone
Universal Pictures,The Man Who Laughs
Columbia Pictures,The Matinee Idol
The Caddo Company,The Mating Call
Fox Film Corporation,Mother Machree
British International Pictures (BIP),Moulin Rouge
Metro-Goldwyn-Mayer (MGM),The Mysterious Lady
Metro-Goldwyn-Mayer (MGM),Our Dancing Daughters
SociÃ©tÃ© gÃ©nÃ©rale des films,La passion de Jeanne d'Arc
Cosmopolitan Productions,The Patsy
Mezhrabpomfilm,Potomok Chingis-Khana
Columbia Pictures,The Power of the Press
The Caddo Company,The Racket
Fox Film Corporation,Riley the Cop
Gloria Swanson Pictures,Sadie Thompson
British Instructional Films (BIF),Shiraz
Metro-Goldwyn-Mayer (MGM),Show People
Warner Bros.,The Singing Fool
Metro-Goldwyn-Mayer (MGM),The Smart Set
The Harold Lloyd Corporation,Speedy
Fritz Lang-Film,Spione
Fox Film Corporation,Street Angel
Columbia Pictures,That Certain Thing
Pierre Braunberger,Tire au flanc
Metro-Goldwyn-Mayer (MGM),The Trail of '98
British Instructional Films (BIF),Underground
Technicolor,The Viking
Paramount Pictures,The Way of All Flesh
First National Pictures,Weary River
Paramount Famous Lasky Corporation,The Wedding March
Metro-Goldwyn-Mayer (MGM),West of Zanzibar
Metro-Goldwyn-Mayer (MGM),While the City Sleeps
Metro-Goldwyn-Mayer (MGM),The Wind
Metro-Goldwyn-Mayer (MGM),A Woman of Affairs
Mezhrabpomfilm,Zhivoy trup
Vseukrainske Foto Kino Upravlinnia (VUFKU),Zvenigora
Feature Productions,Alibi
Paramount Pictures,Applause
SociÃ©tÃ© des CinÃ©romans,L'argent
Vseukrainske Foto Kino Upravlinnia (VUFKU),Arsenal
Universum Film (UFA),Asphalt
British International Pictures (BIP),Atlantic
Fox Film Corporation,Behind That Curtain
PathÃ© Exchange,Big News
Fox Film Corporation,The Black Watch
British International Pictures (BIP),Blackmail
Universal Pictures,Broadway
First National Pictures,Broadway Babies
Metro-Goldwyn-Mayer (MGM),The Broadway Melody
The Samuel Goldwyn Company,Bulldog Drummond
The Samuel Goldwyn Company,Condemned!
Pickford Corporation,Coquette
Shochiku Kinema (Kamata),Daigaku wa detakeredo
Paramount Pictures,Dangerous Curves
Metro-Goldwyn-Mayer (MGM),Desert Nights
Metro-Goldwyn-Mayer (MGM),Devil-May-Care
Warner Bros.,Disraeli
First National Pictures,The Divine Lady
Metro-Goldwyn-Mayer (MGM),Dynamite
Gem-Film,Erotikon
Joseph M. Schenck Productions,Eternal Love
Edwin Carewe Productions,Evangeline
Columbia Pictures,Flight
Metro-Goldwyn-Mayer (MGM),The Flying Fleet
British International Pictures (BIP),The Flying Scotsman
Universum Film (UFA),Frau im Mond
Paramount Pictures,Glorifying the American Girl
C.B. DeMille Productions,The Godless Girl
Warner Bros.,Gold Diggers of Broadway
First National Pictures,The Great Divide
Paramount Pictures,The Greene Murder Case
RKO Radio Pictures,Half Marriage
Metro-Goldwyn-Mayer (MGM),Hallelujah
Universal Pictures,Hell's Heroes
PathÃ© Exchange,Her Private Affair
PathÃ© Exchange,High Voltage
Paramount Pictures,The Hole in the Wall
First National Pictures,Seven Footprints to Satan
Metro-Goldwyn-Mayer (MGM),The Idle Rich
Fox Film Corporation,In Old Arizona
British International Pictures (BIP),The Informer
Elton Corporation,The Iron Mask
Metro-Goldwyn-Mayer (MGM),It's a Great Life
Metro-Goldwyn-Mayer (MGM),The Kiss
Lunde Film,Laila
Universal Pictures,The Last Performance
Universal Pictures,The Last Warning
Metro-Goldwyn-Mayer (MGM),The Last of Mrs. Cheyney
Paramount Pictures,The Letter
George Fitzmaurice Productions,The Locked Door
Paramount Pictures,The Love Parade
Universal Pictures,The Love Trap
Fox Film Corporation,Lucky Star
Metro-Goldwyn-Mayer (MGM),Madame X
British International Pictures (BIP),The Manxman
Cosmopolitan Productions,Marianne
Columbia Pictures,Mexicali Rose
Prometheus-Film-Verleih und Vertriebs-GmbH,Mutter Krausens Fahrt ins GlÃ¼ck
Rowland V. Lee Productions,The Mysterious Dr. Fu Manchu
Metro-Goldwyn-Mayer (MGM),Navy Blues
Films Albatros,Les nouveaux messieurs
Warner Bros.,On with the Show!
Metro-Goldwyn-Mayer (MGM),Our Modern Maidens
Metro-Goldwyn-Mayer (MGM),The Pagan
British International Pictures (BIP),Piccadilly
British Instructional Films (BIF),Prapancha Pash
PathÃ© Exchange,The Racketeer
Paramount Pictures,Redskin
RKO Radio Pictures,Rio Rita
Fox Film Corporation,The River
Metro-Goldwyn-Mayer (MGM),Chasing Rainbows
First National Pictures,Sally
Paramount Pictures,The Saturday Night Kid
RKO Radio Pictures,Seven Keys to Baldpate
Universal Pictures,The Shakedown
Warner Bros.,Show of Shows
Burden-Chanler Productions,The Silent Enemy
Metro-Goldwyn-Mayer (MGM),The Single Standard
Metro-Goldwyn-Mayer (MGM),So This Is College
Metro-Goldwyn-Mayer (MGM),Speedway
First National Pictures,The Squall
RKO Radio Pictures,Street Girl
Paramount Pictures,The Studio Murder Mystery
Fox Film Corporation,Sunnyside Up
Pabst-Film,Tagebuch einer Verlorenen
Elton Corporation,The Taming of the Shrew
RKO Radio Pictures,Tanned Legs
Metro-Goldwyn-Mayer (MGM),Their Own Desire
Fox Film Corporation,They Had to See Paris
Metro-Goldwyn-Mayer (MGM),The Thirteenth Chair
Paramount Pictures,Thunderbolt
Metro-Goldwyn-Mayer (MGM),Tide of Empire
Gendai Eigasha,TÃ´kyÃ´ kÃ´shinkyoku
Gloria Productions,The Trespasser
Metro-Goldwyn-Mayer (MGM),The Unholy Night
Metro-Goldwyn-Mayer (MGM),Untamed
RKO Radio Pictures,The Vagabond Lover
Fox Film Corporation,The Valiant
Paramount Pictures,The Virginian
Shochiku Kamata,Gakusei romansu: Wakaki hi
