Paramount Pictures,The Big Pond
Metro-Goldwyn-Mayer (MGM),Billy the Kid
Universum Film (UFA),Der blaue Engel
Pool Films,Borderline
Fox Film Corporation,Born Reckless
First National Pictures,Bright Lights
Metro-Goldwyn-Mayer (MGM),Call of the Flesh
Warner Bros.,Captain Thunder
Christie Film Company,Charley's Aunt
RKO Radio Pictures,Check and Double Check
Metro-Goldwyn-Mayer (MGM),Children of Pleasure
F.W. Murnau Production,City Girl
British Instructional Films (BIF),A Cottage on Dartmoor
RKO Radio Pictures,The Cuckoos
RKO Radio Pictures,Danger Lights
Les Films Marcel Vandal et Charles Delac,David Golder
First National Pictures,The Dawn Patrol
Howard Productions (II),The Devil to Pay!
Paramount Pictures,The Devil's Holiday
Metro-Goldwyn-Mayer (MGM),The Divorcee
RKO Radio Pictures,Dixiana
Warner Bros.,The Doorway to Hell
Metro-Goldwyn-Mayer (MGM),Doughboys
Universum Film (UFA),Die Drei von der Tankstelle
RKO Radio Pictures,The Fall Guy
First National Pictures,The Flirting Widow
Cosmopolitan Productions,The Florodora Girl
Paramount Pictures,For the Defense
RKO Radio Pictures,Framed
Metro-Goldwyn-Mayer (MGM),Free and Easy
Metro-Goldwyn-Mayer (MGM),The Girl Said No
First National Pictures,Going Wild
Warner Bros.,Golden Dawn
Metro-Goldwyn-Mayer (MGM),Good News
Warner Bros.,The Green Goddess
RKO Radio Pictures,Half Shot at Sunrise
Fox Film Corporation,Happy Days
Inspiration Pictures,Hell Harbor
PathÃ© Exchange,Her Man
Shochiku Kinema (Kamata),Hogaraka ni ayume
PathÃ© Exchange,Holiday
RKO Radio Pictures,Hook Line and Sinker
Gainsborough Pictures,Journey's End
British International Pictures (BIP),Juno and the Paycock
Fox Film Corporation,Just Imagine
Universal Pictures,King of Jazz
Columbia Pictures,Ladies of Leisure
Metro-Goldwyn-Mayer (MGM),The Lady of Scandal
Metro-Goldwyn-Mayer (MGM),A Lady to Love
First National Pictures,The Lash
Paramount Pictures,Laughter
Metro-Goldwyn-Mayer (MGM),Let Us Be Gay
Paramount Pictures,Let's Go Native
Warner Bros.,The Life of the Party
Fox Film Corporation,Liliom
First National Pictures,Little Caesar
First National Pictures,Loose Ankles
RKO Radio Pictures,The Pay-Off
Joseph M. Schenck Productions,The Lottery Bride
Metro-Goldwyn-Mayer (MGM),Love in the Rough
RKO Radio Pictures,Lovin' the Ladies
Metro-Goldwyn-Mayer (MGM),Madam Satan
Warner Bros.,Mammy
Paramount Pictures,Manslaughter
British International Pictures (BIP),Mary
Warner Bros.,The Matrimonial Bed
Warner Bros.,Maybe It's Love
Tiffany Productions,The Medicine Man
Fox Film Corporation,Men Without Women
Metro-Goldwyn-Mayer (MGM),Min and Bill
Warner Bros.,Moby Dick
Metro-Goldwyn-Mayer (MGM),Montana Moon
Paramount Pictures,Monte Carlo
Paramount Pictures,Morocco
British International Pictures (BIP),Murder!
Metro-Goldwyn-Mayer (MGM),New Moon
Metro-Goldwyn-Mayer (MGM),Not So Dumb
First National Pictures,A Notorious Affair
First National Pictures,One Night at Susie's
Joseph M. Schenck Productions,One Romantic Night
Metro-Goldwyn-Mayer (MGM),Our Blushing Brides
Metro-Goldwyn-Mayer (MGM),Paid
Victor Halperin Productions,Party Girl
Metro-Goldwyn-Mayer (MGM),Passion Flower
PathÃ©-Natan,La petite Lise
First National Pictures,Playing Around
Sofar-Film,Prix de beautÃ© (Miss Europe)
Joseph M. Schenck Productions,Puttin' on the Ritz
Columbia Pictures,Rain or Shine
Shochiku Kinema (Kamata),Rakudai wa shitakeredo
Joseph M. Schenck Productions,Reaching for the Moon
Fox Film Corporation,Renegades
Rowland V. Lee Productions,The Return of Dr. Fu Manchu
Warner Bros.,River's End
First National Pictures,Road to Paradise
Metro-Goldwyn-Mayer (MGM),Romance
RKO Radio Pictures,Runaway Bride
Vicomte de Noailles,Le sang d'un poÃ¨te
Paramount Pictures,Sarah and Son
First National Pictures,Show Girl in Hollywood
RKO Radio Pictures,The Silver Horde
RKO Radio Pictures,The Sin Ship
PathÃ© Exchange,Sin Takes a Holiday
Warner Bros.,Sinners' Holiday
Metro-Goldwyn-Mayer (MGM),The Sins of the Children
First National Pictures,Son of the Gods
Shochiku,Sono yo no tsuma
Fox Film Corporation,Soup to Nuts
Films Sonores Tobis,Sous les toits de Paris
Paramount Pictures,Street of Chance
First National Pictures,Sunny
Warner Bros.,Sweet Kitty Bellairs
Warner Bros.,Three Faces East
Paramount Pictures,Tom Sawyer
First National Pictures,Top Speed
First National Pictures,The Truth About Youth
Metro-Goldwyn-Mayer (MGM),The Unholy Three
Fox Film Corporation,Up the River
Metro-Goldwyn-Mayer (MGM),War Nurse
Metro-Goldwyn-Mayer (MGM),Way Out West
Metro-Goldwyn-Mayer (MGM),Way for a Sailor
Bavaria Film,Westfront 1918: Vier von der Infanterie
The Samuel Goldwyn Company,Whoopee!
First National Pictures,The Widow from Chicago
Paramount Pictures,Young Man of Manhattan
Vseukrainske Foto Kino Upravlinnia (VUFKU),Zemlya
Vicomte de Noailles,L'Ã¢ge d'or
Paramount Pictures,24 Hours
Warner Bros.,Alexander Hamilton
Metropolitan Studios,Alice in Wonderland
Fox Film Corporation,Ambassador Bill
Paramount Pictures,An American Tragedy
John Ford Productions,Arrowsmith
RKO Radio Pictures,Bachelor Apartment
Cosmopolitan Productions,The Bachelor Father
Fox Film Corporation,Bad Girl
Universal Pictures,The Bad Sister
Warner Bros.,Beauty and the Boss
RKO Radio Pictures,Behind Office Doors
Allianz Tonfilm GmbH,Berlin-Alexanderplatz - Die Geschichte Franz Biberkopfs
First National Pictures,Big Business Girl
Fox Film Corporation,The Black Camel
Warner Bros.,Blonde Crazy
Universum Film (UFA),Bomben auf Monte Carlo
RKO PathÃ© Pictures,Born to Love
First National Pictures,Broadminded
Metro-Goldwyn-Mayer (MGM),The Champ
First National Pictures,Chances
Fox Film Corporation,Charlie Chan Carries On
Les Ã‰tablissements Braunberger-RichebÃ©,La chienne
Ralph M. Like Productions,Chinatown After Dark
RKO Radio Pictures,Cimarron
Charles Chaplin Productions,City Lights
Paramount Pictures,City Streets
Fifra,Coeur de lilas
RKO PathÃ© Pictures,The Common Law
Fox Film Corporation,A Connecticut Yankee
RKO Radio Pictures,Consolation Marriage
Art Cinema Corporation,Corsair
RKO Radio Pictures,Cracked Nuts
Columbia Pictures,The Criminal Code
Metro-Goldwyn-Mayer (MGM),The Cuban Love Song
Metro-Goldwyn-Mayer (MGM),Just a Gigolo
Paramount Pictures,Daughter of the Dragon
Metro-Goldwyn-Mayer (MGM),Daybreak
Fox Film Corporation,Delicious
Columbia Pictures,Dirigible
Paramount Pictures,Dishonored
Tobis Filmkunst,Die 3 Groschen-Oper
Tiffany Productions,The Drums of Jeopardy
Metro-Goldwyn-Mayer (MGM),The Easiest Way
Universal Pictures,East of Borneo
Warner Bros.,The Heart of New York
Universum Film (UFA),Emil und die Detektive
Warner Bros.,Expensive Women
Warner Bros.,50 Million Frenchmen
L'Ã‰cran d'Art,La fin du monde
First National Pictures,The Finger Points
First National Pictures,Five Star Final
Metro-Goldwyn-Mayer (MGM),Five and Ten
Metro-Goldwyn-Mayer (MGM),Flying High
Universal Pictures,Frankenstein
Metro-Goldwyn-Mayer (MGM),A Free Soul
RKO Radio Pictures,Friends and Lovers
The Caddo Company,The Front Page
Mascot Pictures,The Galloping Ghost
RKO Radio Pictures,The Gay Diplomat
Metro-Goldwyn-Mayer (MGM),Gentleman's Fate
Paramount Pictures,Girls About Town
Warner Bros.,God's Gift to Women
First National Pictures,It's Tough to Be Famous
Metro-Goldwyn-Mayer (MGM),The Great Lover
Metro-Goldwyn-Mayer (MGM),The Great Meadow
Metro-Goldwyn-Mayer (MGM),The Guardsman
Columbia Pictures,The Guilty Generation
Fox Film Corporation,A Holy Terror
Paramount Pictures,Honor Among Lovers
First National Pictures,The Hot Heiress
Universal Pictures,A House Divided
KovÃ¡cs Emil Ã©s TÃ¡rsa,Hyppolit a lakÃ¡j
First National Pictures,I Like Your Nerve
Paramount Pictures,I Take This Woman
Warner Bros.,Illicit
Joseph M. Schenck Productions,Indiscreet
Metro-Goldwyn-Mayer (MGM),Inspiration
Universal Pictures,Iron Man
Nero-Film AG,Kameradschaft
RKO Radio Pictures,Kept Husbands
Sam Taylor Productions,Kiki
First National Pictures,Kiss Me Again
Universum Film (UFA),Der KongreÃŸ tanzt
Paramount Pictures,Ladies' Man
RKO Radio Pictures,The Lady Refuses
Shochiku,Shukujo to hige
First National Pictures,The Last Flight
RKO Radio Pictures,Laugh and Get Rich
Metro-Goldwyn-Mayer (MGM),Laughing Sinners
Paramount Pictures,The Smiling Lieutenant
CinÃ©dia,Limite
First National Pictures,Local Boy Makes Good
PathÃ© Exchange,Lonely Wives
Nero-Film AG,M - Eine Stadt sucht einen MÃ¶rder
Warner Bros.,The Mad Genius
Shochiku,Madamu to nyÃ´bÃ´
Warner Bros.,The Maltese Falcon
Metro-Goldwyn-Mayer (MGM),The Man in Possession
Warner Bros.,Manhattan Parade
Les Films Marcel Pagnol,Marius
Columbia Pictures,Arizona
Metro-Goldwyn-Mayer (MGM),Men Call It Love
Paramount Pictures,Men with Wings
RKO Radio Pictures,Millie
Films Sonores Tobis,Le million
Warner Bros.,The Millionaire
Columbia Pictures,The Miracle Woman
Paramount Pictures,Monkey Business
Tiffany Productions,Murder at Midnight
Paramount Pictures,Murder by the Clock
Warner Bros.,My Past
Paramount Pictures,My Sin
RKO PathÃ© Pictures,Suicide Fleet
First National Pictures,The Naughty Flirt
Metro-Goldwyn-Mayer (MGM),Never the Twain Shall Meet
Metro-Goldwyn-Mayer (MGM),New Adventures of Get-Rich-Quick Wallingford
Warner Bros.,Night Nurse
Les Ã‰tablissements Braunberger-RichebÃ©,On purge bÃ©bÃ©
Nero-Film AG,L'opÃ©ra de quat'sous
Warner Bros.,Other Men's Women
The Samuel Goldwyn Company,Palmy Days
Hal Roach Studios,Pardon Us
RKO Radio Pictures,Peach O'Reno
First National Pictures,Penrod and Sam
Metro-Goldwyn-Mayer (MGM),The Phantom of Paris
Supreme Feature Films Company,The Phantom
Columbia Pictures,Platinum Blonde
Metro-Goldwyn-Mayer (MGM),Politics
Metro-Goldwyn-Mayer (MGM),Possessed
Metro-Goldwyn-Mayer (MGM),Private Lives
RKO Radio Pictures,The Public Defender
Warner Bros.,The Public Enemy
Mezhrabpomfilm,Putyovka v zhizn
Fox Film Corporation,Quick Millions
Columbia Pictures,The Range Feud
RKO PathÃ© Pictures,Rebound
First National Pictures,The Reckless Hour
Metro-Goldwyn-Mayer (MGM),Reducing
Warner Bros.,Scarlet Dawn
Warner Bros.,The Road to Singapore
RKO Radio Pictures,The Royal Bed
First National Pictures,The Ruling Voice
First National Pictures,Safe in Hell
Fox Film Corporation,Seas Beneath
Metro-Goldwyn-Mayer (MGM),The Secret 6
Universal Pictures,Seed
Julius Hagen Productions,The Sleeping Cardinal
Warner Bros.,Side Show
Metro-Goldwyn-Mayer (MGM),The Sin of Madelon Claudet
Warner Bros.,Sit Tight
British International Pictures (BIP),The Skin Game
Paramount Pictures,Skippy
Warner Bros.,Smart Money
RKO Radio Pictures,Smart Woman
Warner Bros.,A Soldier's Plaything
Metro-Goldwyn-Mayer (MGM),Son of India
Herbert Wilcox Productions,The Speckled Band
Metro-Goldwyn-Mayer (MGM),Sporting Blood
Metro-Goldwyn-Mayer (MGM),The Squaw Man
Warner Bros.,The Star Witness
Metro-Goldwyn-Mayer (MGM),Strangers May Kiss
The Samuel Goldwyn Company,Street Scene
Universal Pictures,Strictly Dishonorable
D.W. Griffith Productions,The Struggle
Aafa-Film AG,StÃ¼rme Ã¼ber dem Mont Blanc
Metro-Goldwyn-Mayer (MGM),Susan Lenox (Her Fall and Rise)
Warner Bros.,Svengali
Murnau-Flaherty Productions,Tabu: A Story of the South Seas
Paramount Pictures,Tarnished Lady
Metro-Goldwyn-Mayer (MGM),This Modern Age
RKO Radio Pictures,Three Who Loved
RKO PathÃ© Pictures,The Tip-Off
Shochiku Kinema,TÃ´kyÃ´ no kÃ´rasu
The Samuel Goldwyn Company,Tonight or Never
Metro-Goldwyn-Mayer (MGM),Trader Horn
Fox Film Corporation,Transatlantic
RKO Radio Pictures,Transgression
Warner Bros.,Under Eighteen
The Samuel Goldwyn Company,The Unholy Garden
Universal Pictures,Waterloo Bridge
RKO Radio Pictures,Way Back Home
RKO PathÃ© Pictures,A Woman of Experience
Fox Film Corporation,The Yellow Ticket
Films Sonores Tobis,Ã€ nous la libertÃ©
Fox Film Corporation,After Tomorrow
RKO Radio Pictures,The Age of Consent
Universal Pictures,Air Mail
Metro-Goldwyn-Mayer (MGM),Are You Listening?
Metro-Goldwyn-Mayer (MGM),ArsÃ¨ne Lupin
Metro-Goldwyn-Mayer (MGM),As You Desire Me
Columbia Pictures,Attorney for the Defense
Universal Pictures,Back Street
Metro-Goldwyn-Mayer (MGM),The Beast of the City
Columbia Pictures,Behind the Mask
Paramount Pictures,The Big Broadcast
Warner Bros.,Big City Blues
Leon Schlesinger Studios,The Big Stampede
RKO Radio Pictures,A Bill of Divorcement
RKO Radio Pictures,Bird of Paradise
Warner Bros.,Blessed Event
Paramount Pictures,Blonde Venus
Metro-Goldwyn-Mayer (MGM),Blondie of the Follies
Les Ã‰tablissements Jacques HaÃ¯k,Boudu sauvÃ© des eaux
Paramount Pictures,Broken Lullaby
Metro-Goldwyn-Mayer (MGM),#NAME?
First National Pictures,The Cabin in the Cotton
Fox Film Corporation,Call Her Savage
RKO PathÃ© Pictures,Carnival Boat
First National Pictures,Central Park
Fox Film Corporation,Charlie Chan's Chance
First National Pictures,Frisco Jenny
RKO Radio Pictures,The Conquerors
First National Pictures,The Crash
PathÃ©-Natan,Les croix de bois
E.W. Hammons Production,The Crooked Circle
First National Pictures,Crooner
Warner Bros.,The Crowd Roars
The Samuel Goldwyn Company,Cynara
First National Pictures,The Dark Horse
Paramount Pictures,Devil and the Deep
Metro-Goldwyn-Mayer (MGM),Divorce in the Family
First National Pictures,Doctor X
Metro-Goldwyn-Mayer (MGM),Downstairs
Paramount Pictures,Dr. Jekyll and Mr. Hyde
Metro-Goldwyn-Mayer (MGM),Emma
Elektafilm,Ekstase
Universum Film (UFA),F.P.1 antwortet nicht
Metro-Goldwyn-Mayer (MGM),Faithless
First National Pictures,The Famous Ferguson Case
Les Films Marcel Pagnol,Fanny
Paramount Pictures,A Farewell to Arms
Metro-Goldwyn-Mayer (MGM),Flesh
Columbia Pictures,Forbidden
Metro-Goldwyn-Mayer (MGM),Freaks
RKO Radio Pictures,The Sport Parade
PathÃ©-CinÃ©ma,Les gaÃ®tÃ©s de l'escadron
RKO Radio Pictures,Girl Crazy
Micheaux Film,The Girl from Chicago
Metro-Goldwyn-Mayer (MGM),Grand Hotel
The Samuel Goldwyn Company,The Greeks Had a Word for Them
Georgian-Film,Lursmani cheqmashi
RKO Radio Pictures,The Half-Naked Truth
First National Pictures,The Hatchet Man
Leon Schlesinger Studios,Haunted Gold
Metro-Goldwyn-Mayer (MGM),Hell Divers
B.F. Zeidman Productions Ltd.,Hell's House
Warner Bros.,High Pressure
RKO Radio Pictures,Hold 'Em Jail
Paramount Pictures,Horse Feathers
Paramount Pictures,Hot Saturday
Metro-Goldwyn-Mayer (MGM),Huddle
Warner Bros.,I Am a Fugitive from a Chain Gang
Universal Pictures,The Impatient Maiden
Warner Bros.,Jewel Robbery
The Samuel Goldwyn Company,The Kid from Spain
Chesterfield Motion Pictures Corporation (I),The King Murder
Metro-Goldwyn-Mayer (MGM),Kongo
Prometheus-Film-Verleih und Vertriebs-GmbH,Kuhle Wampe oder: Wem gehÃ¶rt die Welt?
RKO Radio Pictures,Ladies of the Jury
Paramount Pictures,Lady and Gent
RKO PathÃ© Pictures,Lady with a Past
K.B.S. Productions Inc.,The Last Mile
Universal Pictures,Law and Order
Warner Bros.,Lawyer Man
Metro-Goldwyn-Mayer (MGM),Letty Lynton
Julius Hagen Productions,The Lodger
RKO Radio Pictures,The Lost Squadron
Columbia Pictures,Love Affair
First National Pictures,Love Is a Racket
Paramount Pictures,Love Me Tonight
Metro-Goldwyn-Mayer (MGM),Lovers Courageous
Paramount Pictures,Madame Butterfly
Paramount Pictures,Make Me a Star
Warner Bros.,Man Wanted
Warner Bros.,The Man Who Played God
Remington Pictures,Manhattan Tower
Metro-Goldwyn-Mayer (MGM),Mata Hari
Fox Film Corporation,Me and My Gal
RKO Radio Pictures,Men of Chance
Paramount Pictures,Merrily We Go to Hell
George W. Weeks Productions,The Midnight Warning
Paramount Pictures,Million Dollar Legs
First National Pictures,Miss Pinkerton
Ralph M. Like Productions,The Monster Walks
Elton Productions,Mr. Robinson Crusoe
Universal Pictures,The Mummy
Universal Pictures,Murders in the Rue Morgue
Shochiku Kinema (Kamata),Nasanunaka
Metro-Goldwyn-Mayer (MGM),New Morals for Old
Paramount Pictures,Night After Night
Metro-Goldwyn-Mayer (MGM),Night Court
Universal Pictures,Night World
Paramount Pictures,No Man of Her Own
Columbia Pictures,No More Orchids
Europa Films,La nuit du carrefour
British International Pictures (BIP),Number Seventeen
Universal Pictures,The Old Dark House
Universal Pictures,Once in a Lifetime
Warner Bros.,One Way Passage
Metro-Goldwyn-Mayer (MGM),The Passionate Plumber
Metro-Goldwyn-Mayer (MGM),Payment Deferred
RKO Radio Pictures,Penguin Pool Murder
Emory Johnson Productions,The Phantom Express
Paramount Pictures,The Phantom President
RKO Radio Pictures,The Phantom of Crestwood
Warner Bros.,Play Girl
Les Films Marcel Vandal et Charles Delac,Poil de carotte
Metro-Goldwyn-Mayer (MGM),Polly of the Circus
RKO PathÃ© Pictures,Prestige
Metro-Goldwyn-Mayer (MGM),Prosperity
Warner Bros.,The Purchase Price
Feature Productions,Rain
Metro-Goldwyn-Mayer (MGM),Red Dust
Tower Productions (III),Red-Haired Alibi
Metro-Goldwyn-Mayer (MGM),Red-Headed Woman
First National Pictures,The Rich Are Always with Us
British International Pictures (BIP),Rich and Strange
RKO Radio Pictures,Roar of the Dragon
Gaumont British Picture Corporation,Rome Express
Monarch Film Corporation,The Savage Girl
RKO Radio Pictures,Secrets of the French Police
Shochiku,Seishun no yume ima izuko
Paramount Pictures,Shanghai Express
Fox Film Corporation,Sherlock Holmes
Columbia Pictures,Shopworn
Associated Talking Pictures (ATP),The Sign of Four: Sherlock Holmes' Greatest Case
Paramount Pictures,The Sign of the Cross
First National Pictures,Silver Dollar
Willis Kent Productions,Sinister Hands
Paramount Pictures,Sinners in the Sun
Cosmopolitan Productions,Skyscraper Souls
Metro-Goldwyn-Mayer (MGM),Smilin' Through
Warner Bros.,So Big!
Metro-Goldwyn-Mayer (MGM),Speak Easily
RKO Radio Pictures,State's Attorney
Metro-Goldwyn-Mayer (MGM),Strange Interlude
First National Pictures,The Strange Love of Molly Louvain
Quadruple Film Corp.,Strangers of the Evening
Warner Bros.,Street of Women
Warner Bros.,A Successful Calamity
RKO Radio Pictures,Symphony of Six Million
Ralph M. Like Productions,Tangled Destinies
Metro-Goldwyn-Mayer (MGM),Tarzan the Ape Man
Warner Bros.,Taxi
First National Pictures,The Tenderfoot
Nero-Film AG,Das Testament des Dr. Mabuse
Columbia Pictures,Texas Cyclone
Gainsborough Pictures,There Goes the Bride
First National Pictures,They Call It Sin
RKO Radio Pictures,Thirteen Women
M.H. Hoffman Inc.,The Thirteenth Guest
Paramount Pictures,This Is the Night
Columbia Pictures,Three Wise Girls
First National Pictures,Three on a Match
First National Pictures,Tiger Shark
Universal Pictures,Tom Brown of Culver
K.B.S. Productions Inc.,Tombstone Canyon
Paramount Pictures,Trouble in Paradise
Warner Bros.,Two Against the World
First National Pictures,Two Seconds
Columbia Pictures,Two-Fisted Law
Shochiku,Otona no miru ehon - Umarete wa mita keredo
Metro-Goldwyn-Mayer (MGM),Unashamed
First National Pictures,Union Depot
